,local_area,address,primary_address,address is primary?,n_pids,pid,units,year_built,bsns_group,bsns_name,bsns_trade_name,bsns_type,value_land,value_bldg,bldg_land_ratio,value_per_unit,VTU members,WestEnd Inbox,VTU Main Inbox,zoning,name,management,n_issues,issues_details,VTU Building,notes,prospect?
709,Kitsilano,3348 w broadway,3360 w broadway,FALSE,2,023297867;023297867,36,1994,,,,,5343000,4044000,0.7568781583,,,,,,WISHS Co-op,WISHS Co-op Housing Association,,,,,
1114,West End,1068 burnaby st,1068 burnaby st,TRUE,1,,23,1955,['Thurlow Street Project Nominee Inc'],['Thurlow Street Project Nominee Inc'],[],['Apartment House'],"$35,407,000.00","$10,000.00",0.000282430028,"$1,539,869.57",,,,RM-5A,,,,,,,
1,Downtown,930 seymour st,930 seymour st,TRUE,1,,430,2002,['bcIMC Realty Corporation'],['bcIMC Realty Corporation'],[],['Apartment House'],120448000,78644000,0.6529290648,,,,,CD-1 (369),,,,,,,
2,,512 campbell ave,512 campbell ave,TRUE,1,,375,1967,,,,,0,0,,,,,,,Stamp's Place,BC Housing,,,,,
1103,West End,1075 nelson st,1075 nelson st,TRUE,1,,23,1953,['Nelson Street Residences Ltd'],['Nelson Street Residences Ltd'],[],['Apartment House'],"$42,394,000.00","$73,400.00",0.001731377082,"$1,846,408.70",,,,RM-5B,,,,already nabbed https://www.shapeyourcity.ca/1075-nelson-st,,,
4,,350 keefer st,350 keefer st,TRUE,1,,300,1970,,,,,0,0,,,,,,,MacLean Park - Phase II,BC Housing,,,,,
458,West End,1370 davie st,1370 davie st,TRUE,1,,47,1979,['Broughton Place Apts Ltd'],['Broughton Place Apts Ltd'],['Broughton Place'],['Apartment House'],"$41,565,000.00","$99,100.00",0.002384217491,"$886,470.21",,,,RM-5D,,,,,,,
878,West End,1065 pacific st,1065 pacific st,TRUE,1,,30,1963,['Peter P Alevras & John P Alevras'],['Peter P Alevras & John P Alevras'],['The Edgewater'],['Apartment House'],"$17,777,000.00","$43,300.00",0.002435731563,"$594,010.00",,,,RM-5A,,,,,,,
1630,West End,704 denman st,708 denman st,FALSE,1,15065481,13,1910,,,,,"$8,690,000.00","$22,600.00",0.002600690449,"$670,200.00",,,,C-5A,,,,,,huge development project,no
8,Downtown,1529 w pender st,1529 w pender st,TRUE,1,,236,2002,,,,,77094000,77797000,1.009118738,,,,,CD-1 (312),,,,,,,
9,Kitsilano,1450 chestnut st,1450 chestnut st,TRUE,1,,234,1961,['Vancouver Properties Ltd'],['Vancouver Properties Ltd'],[],['Apartment House'],58477000,22485000,0.3845101493,,,,,RM-4,,,,,,,
10,,1650 haro st,1650 haro st,TRUE,1,,226,1975,,,,,0,0,,,,,,,Sunset Towers,BC Housing,,,,,
11,,1115 nelson st,1115 nelson st,TRUE,1,,223,1969,['The Bloom Group Community Services Society'],['The Bloom Group Community Services Society'],['Nicholson Tower'],['Non-profit Housing'],5,5,1,,,,,,Nicholson Towers,The Bloom Group,,,,,
906,West End,1057 barclay st,1057 barclay st,TRUE,1,,29,1954,['1149365 BC Ltd'],['1149365 BC Ltd'],[],['Apartment House'],"$14,827,000.00","$39,700.00",0.002677547717,"$512,644.83",,,,RM-5B,,,,,,redevelopment for building across the street,yes
1344,West End,1104 haro st,1104 haro st,TRUE,1,,19,1927,,,,,"$12,925,000.00","$34,800.00",0.00269245648,"$682,094.74",,,,RM-5B,,,,,,,yes
14,,1030 burnaby st,1030 burnaby st,TRUE,1,,216,1972,['Society For Christian Care of Elderly'],['Society For Christian Care of Elderly'],['Twin Arms'],['Non-profit Housing'],57322000,22685000,0.3957468337,,,,,,Twin Arms,Society for Christian Care of the Elderly,,,,,
15,,124 dunlevy ave,124 dunlevy ave,TRUE,1,,213,2021,['City of Vancouver'],['City of Vancouver'],['Roddan Lodge'],['Non-profit Housing'],6216000,16449000,2.646235521,,,,,,Roddan Lodge,City of Vancouver,,,,,
16,Kerrisdale,1515 w 57th ave,1515 w 57th ave,TRUE,1,,213,2016,['Wall Financial Corp'],['Wall Financial Corp'],[],['Apartment House'],27238000,76709000,2.816249358,,,,,CD-1 (521),,,,,,,
17,,1985 wallace st,1985 wallace st,TRUE,1,,200,1975,,,,,52257000,18431000,0.3526991599,,,,,,Steeves Manor,BC Housing,,,,,
954,West End,1070 barclay st,1070 barclay st,TRUE,1,,27,1955,['Bosa Developments'],['Bosa-Kingswood Properties (Barclay) Inc'],[],['Apartment House'],"$14,827,000.00","$42,000.00",0.002832670129,"$550,703.70",,,,RM-5B,,,,,,redevelopment,
19,Downtown,89 w georgia st,89 w georgia st,TRUE,1,,197,2015,,,,,58327000,126407000,2.16721244,,,,,CD-1 (311),,,,,,,
1526,West End,905 chilco st,905 chilco st,TRUE,1,,15,1930,['Mauro Management Ltd'],['Mauro Management Ltd'],['Chatelaine Apartments'],['Apartment House'],"$27,754,000.00","$82,800.00",0.002983353751,"$1,855,786.67",,,,RM-5B,,,,,,,
21,Downtown,939 beatty st,939 beatty st,TRUE,1,,189,2004,['bcIMC Realty Corporation'],['bcIMC Realty Corporation Yaletown 939 Harbour Holdings Inc'],[],['Apartment House'],55405000,55655000,1.004512228,,,,,DD,,,,,,,
22,Mount Pleasant,801 e 6th ave,801 e 6th ave,TRUE,1,,188,1971,['262109 B C Ltd'],['262109 B C Ltd'],[],['Apartment House'],52440000,8570000,0.1634248665,,,,,RM-4N,,,7,http://app.vancouver.ca/RPS_Net/Default.aspx?num=801&street=E%206TH%20AVENUE,,,
283,West End,1640 alberni st,1640 alberni st,TRUE,1,,66,1969,['1650 Alberni Commercial Ltd'],['1650 Alberni Commercial Ltd'],[],['Apartment House'],"$212,688,000.00","$636,000.00",0.002990295644,"$3,232,181.82",,,,RM-5C,,,,,,,
872,West End,1030 harwood st,1030 harwood st,TRUE,1,,30,1963,['KYV Holdings Ltd'],['KYV Holdings Ltd'],['The Catalina'],['Apartment House'],"$53,106,000.00","$159,900.00",0.003010959214,"$1,775,530.00",,,,RM-5A,,,,,,,
1540,West End,1065 burnaby st,1065 burnaby st,TRUE,1,,15,1956,['Concord International Lands Ltd'],['Concord International Lands Ltd'],[],['Apartment House'],"$8,940,000.00","$27,800.00",0.003109619687,"$597,853.33",,,,RM-5A,,,,,,,
1504,West End,1434 davie st,1434 davie st,TRUE,1,,16,1952,['Canalia Holdings Ltd'],['Canalia Holdings Ltd'],['Malibu Apartments'],['Apartment House'],"$9,928,000.00","$32,000.00",0.003223207091,"$622,500.00",,,,RM-5D,,,,,,,
27,,1750 e 41st ave,1750 e 41st ave,TRUE,1,,170,1974,,,,,16490000,23885000,1.448453608,,,,,,Menno Court,Mennonite Senior Citizens' Society of B.C.,,,,,
863,West End,1025 chilco st,1025 chilco st,TRUE,1,,30,1952,['Radke Bros Construction Ltd'],['Radke Bros Construction Ltd'],['Erwill Apts'],['Apartment House'],"$27,818,000.00","$96,800.00",0.003479761306,"$930,493.33",,,,RM-5B,,,,,,,
29,,5701 nanaimo st,5701 nanaimo st,TRUE,1,,169,1959,,,,,0,0,,,,,,,Orchard Park,BC Housing,,,,,
1891,West End,1245 bute st,1245 bute st,TRUE,1,,11,1941,['Julienne Li Linda Wong & Marilyn Leung'],['Julienne Li Linda Wong & Marilyn Leung'],['Roosevelt Manor'],['Apartment House'],"$6,743,000.00","$24,300.00",0.003603737209,"$615,209.09",,,,RM-5A,,,,,,,
2231,West End,1825 nelson st,1825 nelson st,TRUE,1,,8,1951,['Lotte & John Hecht Memorial Foundation'],['Lotte & John Hecht Memorial Foundation'],[],['Apartment House'],"$3,678,000.00","$13,700.00",0.003724850462,"$461,462.50",,,,RM-5B,,,,,,,
2082,West End,1365 burnaby st,1365 burnaby st,TRUE,1,,9,1952,['Vanca Holdings Ltd'],['Vanca Holdings Ltd'],[],['Apartment House'],"$3,831,000.00","$14,300.00",0.003732706865,"$427,255.56",,,,RM-5A,,,3,http://app.vancouver.ca/RPS_Net/Default.aspx?num=1365&street=BURNABY%20STREET,,,
33,,1099 richards st,1099 richards st,TRUE,1,,162,2016,['127 Society For Housing'],['127 Society For Housing'],['Jubilee House'],['Non-profit Housing'],1,1,1,,,,,,New Jubilee House,The 127 Society for Housing,,,,,
1254,West End,1255 comox st,1255 comox st,TRUE,1,,21,1953,['Ka Wah Estates Ltd'],['Ka Wah Estates Ltd'],['Delroy Place'],['Apartment House'],"$13,909,000.00","$52,000.00",0.003738586527,"$664,809.52",,,,RM-5B,,,,,,,
35,Downtown,699 cardero st,699 cardero st,TRUE,1,,161,2001,['Austeville Properties Ltd'],['Austeville Properties Ltd'],[],['Apartment House'],41612000,60101000,1.444318946,,,,,CD-1 (321),,,,,,,
36,,950 cassiar st,950 cassiar st,TRUE,1,,160,1978,,,,,0,0,,,,,,,Adanac Village Co-op,Access Co-op Housing Association,,,,,
37,,705 jackson ave,705 jackson ave,TRUE,1,,157,1965,,,,,0,0,,,,,,,MacLean Park - Phase I,BC Housing,,,,,
20,West End,1615 robson st,777 cardero st,FALSE,1,18195300,190,1970,,,,,"$140,292,000.00","$531,200.00",0.00378638839,"$741,174.74",,,,C-5A,,,,,,BLENZ,no
39,,6620 elliott st,6620 elliott st,TRUE,1,,154,1966,,,,,16501001,14608001,0.885279687,,,,,,Killarney Gardens,BC Housing,,,,,
1428,West End,970 gilford st,970 gilford st,TRUE,1,,17,1940,['Lotte & John Hecht Memorial Foundation'],['Lotte & John Hecht Memorial Foundation'],[],['Apartment House'],"$7,113,000.00","$27,100.00",0.003809925489,"$420,005.88",,,,RM-5B,,,,,,Jon knows a tenant here,
677,West End,1860 haro st,1860 haro st,TRUE,1,,37,1944,['636458 BC Ltd'],['636458 BC Ltd'],['Shaunavon Apartments'],['Apartment House'],"$13,436,000.00","$51,400.00",0.003825543316,"$364,524.32",,,,RM-5B,,,,,,,yes
42,,3501 naples w,3501 naples w,TRUE,1,,151,1982,,,,,0,0,,,,,,,Tivoli Gardens,Metro Vancouver Housing Corporation,,,,,
43,,7155 blake st,7155 blake st,TRUE,1,,150,1975,,,,,0,0,,,,,,,Kanata Co-op,Kanata Co-op Housing Association,,,,,
2573,West End,968 nicola st,968 nicola st,TRUE,1,,6,1940,['Golden Gourd Capital Ltd'],['Golden Gourd Capital Ltd'],[],['Apartment House'],"$2,703,000.00","$10,600.00",0.003921568627,"$452,266.67",,,,RM-5,,,,,,,
